"id","url","h1_count","h2_count","div_count","iframe_count","a_count","img_count","span_count","button_count","input_count","form_count","script_count","meta_count","link_count","style_count","text_longer_than_100_characters_count","http_references","https_references","total_code_length","p_count"
"72","https://www.usmagazine.com/entertainment/news/kyle-richards-rhobh-reunion-and-michael-myers-are-terrifying/","1","0","353","6","142","44","198","53","24","0","56","34","30","6","20","0","160","401665","51"
"73","https://www.usmagazine.com/entertainment/pictures/game-of-thrones-prequel-series-everything-we-know/","1","0","355","6","131","43","196","53","24","0","58","35","29","6","18","0","147","436910","51"
"74","https://www.usmagazine.com/entertainment/pictures/ivan-hall-shares-new-bachelor-in-paradise-secrets/","1","0","355","6","129","43","196","53","24","0","58","34","29","6","23","0","145","420588","52"
"75","https://www.usmagazine.com/entertainment/news/kenya-moore-thought-she-broke-her-ribs-during-dwts-disney-week/","1","0","353","6","136","44","198","53","24","0","56","34","30","6","24","0","154","397979","51"
"76","https://www.usmagazine.com/entertainment/pictures/stranger-things-season-4-everything-we-know-so-far/","1","0","355","6","131","43","196","53","24","0","58","35","29","6","20","0","147","435749","53"
"77","https://www.usmagazine.com/entertainment/news/rhobh-provided-a-lot-of-evidence-against-erika-jayne-lawyer-says/","1","0","352","6","133","43","195","53","24","0","56","34","30","6","25","0","151","399222","50"
"78","https://www.usmagazine.com/entertainment/pictures/scream-5-everything-we-know-about-the-upcoming-slasher-film/","1","0","355","6","128","43","196","53","24","0","58","35","29","6","18","0","144","441611","51"
"79","https://www.usmagazine.com/entertainment/news/dwts-fans-react-to-matt-james-lindsay-arnolds-confusing-exit/","1","0","350","6","146","44","198","53","24","0","55","35","29","6","20","0","163","398793","52"
"80","https://www.usmagazine.com/entertainment/pictures/greys-anatomy-scott-speedman-returns-full-time-after-season-14-role/","1","0","355","6","129","43","196","53","24","0","59","35","29","6","21","0","145","432282","53"
"81","https://www.usmagazine.com/entertainment/pictures/rhobh-season-11-reunion-erika-jayne-revelations/","1","0","355","6","127","43","196","53","24","0","58","35","29","6","21","0","143","425889","47"
